,0,2,cleaned
0,"Turki mah gitu ..presiden nya di hina ama presiden lebanon, begitu kena musibah eh turki duluan yg kirim bantu",Hoax ,turki mah gitu presiden nya di hina ama presiden lebanon begitu kena musibah eh turki duluan yg kirim bantu
1,maruf amin gantiin prabowo prabowo naik jkw turun trus prabowo jd presiden,Hoax ,maruf amin gantiin prabowo prabowo naik jkw turun trus prabowo jd presiden
2,"Pagi2 dah bahas politik ae..

""nih bro asal lu tau, nanti KH. Ma'ruf Amin bakal mundur dari wakil presiden, naaah ntar Prabowo yg gantiin""",Hoax ,pagi2 dah bahas politik ae nih bro asal lu tau nanti kh ma ruf amin bakal mundur dari wakil presiden naaah ntar prabowo yg gantiin
3,"""pegadaian ngga punya akun lelang, bisa langsung ke pelayanan cabang kalo mau cek lelang""",Fakta ,gadai ngga punya akun lelang bisa langsung ke layan cabang kalo mau cek lelang
4,"Temenku ada yg pernah beli di akun lelang pegadaian kayak gini, belinya codan gitu tapi diluar kantor, soalnya ga boleh transaksi di dalam katanya",Hoax ,temenku ada yg pernah beli di akun lelang gadai kayak gin beli codan gitu tapi luar kantor soal ga boleh transaksi di dalam kata
5,Kawanku yang kuliah di STAN memang terpapar radikalisme... sepertinya itu gamblang,Hoax ,kawan yang kuliah di stan memang papar radikalisme seperti itu gamblang
6,"iyaaa gua di awal disuruh ke pkn stan kan, tapi tutup pendaftaran 4 tahun. Trs gua pen nyari poltek2 duluuuu. Gua gatau minat bakat gua anjir",Hoax ,iyaaa gua di awal suruh ke pkn stan kan tapi tutup daftar 4 tahun trs gua pen nyari poltek2 duluuuu gua gatau minat bakat gua anjir
7,PKN STAN tutup selama 4 tahun sampe 2024.. Awalnya ga percaya sampe akhirnya tadi denger langsung dari adek2 mahasiswa STAN dan googling ternyata iya.. Semoga janganlah.. :'(,Hoax ,pkn stan tutup lama 4 tahun sampe 2024 awal ga percaya sampe akhir tadi denger langsung dari adek2 mahasiswa stan dan googling nyata iya moga jangan
8,"Gara2 isu Radikalisne di kampus STAN, maka selama 4 tahun kedepan kampus itu di tutup dan tidak menerima mahasiswa baru. Rupanya sekarang mahasiswa yg rajin shalat dan pengajian di Masjid dianggap pemerintah sebagai embrio Radikalisme sehingga membahayakan keamanan negara ",Hoax ,gara2 isu radikalisne di kampus stan maka lama 4 tahun depan kampus itu di tutup dan tidak terima mahasiswa baru rupa sekarang mahasiswa yg rajin shalat dan aji di masjid anggap perintah bagai embrio radikalisme sehingga bahaya aman negara
9,"Katanya iya:( kemaren juga ada yg bilang, ""dia"" ini punya tante orang dalam kata tantenya juga stan tutup 4 tahun udah deal😭, udah capek nangis mikirin ini😭",Hoax ,kata iya kemaren juga ada yg bilang dia ini punya tante orang dalam kata tante juga stan tutup 4 tahun udah deal udah capek nang mikirin ini
10,"Pernah baca di tl kalo tahun ini stam ga buka itu karna pandem i , kalo yg 4-5 thn itu moratorium lulusannya bukan pendaftaran stan nya. Cmiiw",Fakta,pernah baca di tl kalo tahun ini stam ga buka itu karna pandem kalo yg 4 5 thn itu moratorium lulus bukan daftar stan nya cmiiw
11,Bahwa Indra Sjafri jadi pelatih baru Juventus itu memang tidak benar. Yang benar adalah dia head coach baru Juventus.,Hoax ,bahwa indra sjafri jadi latih baru juventus itu memang tidak benar yang benar adalah dia head coach baru juventus
12,Indra Sjafri setelah sempat ikut terseret masuk bursa calon pengganti Maurizio Sarri: Indonesia lebih besar dibanding Juventus. #Sjafriball,Fakta,indra sjafri telah sempat ikut seret masuk bursa calon ganti maurizio sarri indonesia lebih besar banding juventus sjafriball
13,Pabrik petasan yg meledak di Lebanon pernah masuk di serial the simpson dan benar meledak di tahun corona. 💣💥,Hoax ,pabrik petas yg ledak di lebanon pernah masuk di serial the simpson dan benar ledak di tahun corona
14,Ledakan pabrik kembang api di pelabuhan Beirut Lebanon sudah pernah diprediksi oleh The Simpson. https://t.co/BM1PEGlJBa,Hoax ,ledak pabrik kembang api di labuh beirut lebanon sudah pernah prediksi oleh the simpson https co bm1pegljba
15,"Hampir sama di the simpson dan di Lebanon, simpsons mesin waktu.",Hoax ,hampir sama di the simpson dan di lebanon simpsons mesin waktu
16,Informasi mengenai The Simpsons memprediksi ledakan Beirut - Lebanon adalah salah alias HOAX,Fakta,informasi kena the simpsons prediksi ledak beirut lebanon adalah salah alias hoax
17,"Ledakan di film The Simpson mirip banget dgn yang di Lebanon. Dear pengarang film The Simpson: tolong buat film Virus Corona menghilang dari muka bumi ini, sapa tau ilang beneran.",Hoax ,ledak di film the simpson mirip banget dgn yang di lebanon dear arang film the simpson tolong buat film virus corona hilang dari muka bumi ini sapa tau ilang beneran
18,"Yang nyebarin editan kartun The Simpsons sama ledakan di lebanon tolong di stop dong, jangan nyebarin video yang ga sesuai faktanya...... Btw ini yang asli nya",Fakta,yang nyebarin edit kartun the simpsons sama ledak di lebanon tolong di stop dong jangan nyebarin video yang ga sesuai fakta btw ini yang asli nya
19,"Beredar Peta DKI Jakarta Hitam Akibat Covid-19, BIN: Itu Hoaks",Fakta,edar peta dki jakarta hitam akibat covid 19 bin itu hoaks
20,"Hati² dg pembagian masker gratis oleh org² yg tak dikenal terutama di tmpat² sepi, krna tak jarang terjdi tindak kejahatan. Masker yg diberi telah diberi obat bius terlebih dahulu oleh pelaku yg bs membuat korban tak sadarkan diri",Hoax ,hati dg bagi masker gratis oleh org yg tak kenal utama di tmpat sepi krna tak jarang terjdi tindak jahat masker yg beri telah beri obat bius lebih dahulu oleh laku yg bs buat korban tak sadar diri
21,Ati2 sekarang ada modus ngasi masker gratis tapi dikasi obat bius biar pingsan trus dirampok.,Hoax ,ati2 sekarang ada modus ngasi masker gratis tapi kasi obat bius biar pingsan trus rampok
22,"Si ibu dikasi masker gratis maskernya dikasi obat bius dan dihipnotis ,,motor dibawa kabur.. hati2.....indo mart wrg silah",Hoax ,si ibu kasi masker gratis masker kasi obat bius dan hipnotis motor bawa kabur hati2 indo mart wrg silah
23,"hari ini. Seorang ibu yg naik sepeda motor , diberi masker gratis oleh seseorang di JL HARAPAN RAYA PEKAN BARU. Setelah masker dipakai oleh ibu itu , lalu ia tak sadarkan diri. Masker sudah diberi OBAT BIUS.
DAN SEPEDA MOTORNYA DIBAWA ORANG ITU.",Hoax ,hari ini orang ibu yg naik sepeda motor beri masker gratis oleh orang di jl harap raya pekan baru telah masker pakai oleh ibu itu lalu ia tak sadar diri masker sudah beri obat bius dan sepeda motor bawa orang itu
24,"Hati-hati dan tetap waspada.
Modus pemberian masker gratis yg sdh diberi obat bius
Tetap waspada dan jangan lengah
Kejahatan selalu mengintai kita",Hoax ,hati hati dan tetap waspada modus beri masker gratis yg sdh beri obat bius tetap waspada dan jangan lengah jahat selalu intai kita
25,"Modus baru kejahatan. Pelaku bagiin masker gratis dan langsung disuruh pake. Ternyata maskernya udah dikasih obat bius. Saat korban tertidur, pelaku langsung merampok harta korban.
Modusnya mirip sih kayak bagiin minuman ke penumpang di terminal/stasiun saat musim mudik. Hati2 ya",Hoax ,modus baru jahat laku bagiin masker gratis dan langsung suruh pake nyata masker udah kasih obat bius saat korban tidur laku langsung rampok harta korban modus mirip sih kayak bagiin minum ke tumpang di terminal stasiun saat musim mudik hati2 ya
26,"Tolong lah, ini hipnotis, bukan masker di ksh bius, nanti malah jadi pada parno buat yg di ksh masker gratis, nyebarin berita boleh, tp jgn nyebarin hoax ",Fakta,tolong lah ini hipnotis bukan masker di ksh bius nanti malah jadi pada parno buat yg di ksh masker gratis nyebarin berita boleh tp jgn nyebarin hoax
27,"Oh ayolahh sekiranya blm terbukti Jgn menggiring opini!, coba search di google byk portal2 berita ttg cek fakta apakah ""Masker gratis Terdapat Obat Bius"" kebanyakan berita mengkonfimasi itu HOAX. jg itu berita 5-6hr yg lalu, dan anda blm 24jam. Oh mungkin anda lupa buka browser.",Fakta,oh ayolahh sekira blm bukti jgn giring opini coba search di google byk portal2 berita ttg cek fakta apakah masker gratis dapat obat bius banyak berita mengkonfimasi itu hoax jg itu berita 5 6hr yg lalu dan anda blm 24jam oh mungkin anda lupa buka browser
